00:00:06.505 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.scheduleserver.mapper.SysSubmitMapper.selectList
00:00:06.505 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.scheduleserver.mapper.SysSubmitMapper.selectList:SELECT user_id,course_id,submit_resource FROM sys_submit WHERE (course_id = 16)
00:00:06.507 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@1217e82d, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@1217e82d}
00:00:06.508 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.508 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 17)
00:00:06.511 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = 16
00:00:06.511 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.scheduleserver.mapper.SysScheduleMapper.selectCourseById
00:00:06.511 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.scheduleserver.mapper.SysScheduleMapper.selectCourseById:select * from sys_course where course_id = 16
00:00:06.514 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@260ea2db, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@260ea2db}
00:00:06.515 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysChoiceMapper.selectList
00:00:06.515 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysChoiceMapper.selectList:SELECT choice_id,student_id,course_id,score,evaluate,upload_resource,create_time,update_time FROM sys_choice WHERE (course_id = 16)
00:00:06.519 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@34f745ff, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@34f745ff}
00:00:06.519 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.520 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 9)
00:00:06.523 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@683e7433, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@683e7433}
00:00:06.523 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.523 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 20)
00:00:06.527 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@6be62e86, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@6be62e86}
00:00:06.528 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.528 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 6)
00:00:06.531 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2e711fb2, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2e711fb2}
00:00:06.532 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.scheduleserver.mapper.SysSubmitMapper.selectList
00:00:06.532 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.scheduleserver.mapper.SysSubmitMapper.selectList:SELECT user_id,course_id,submit_resource FROM sys_submit WHERE (course_id = 16)
00:00:06.535 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@4bc1e28d, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@4bc1e28d}
