00:00:06.420 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:06.420 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '5' AND dict_type = 'major')
00:00:06.424 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@49ce855, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@49ce855}
00:00:06.424 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:06.425 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '2' AND dict_type = 'college')
00:00:06.428 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@6dee57cf, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@6dee57cf}
00:00:06.428 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:06.429 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '5' AND dict_type = 'major')
00:00:06.431 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@6067ee42, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@6067ee42}
00:00:06.432 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:06.432 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '3' AND dict_type = 'college')
00:00:06.435 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@1350229f, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@1350229f}
00:00:06.436 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:06.436 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '7' AND dict_type = 'major')
00:00:06.439 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@65451e10, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@65451e10}
00:00:06.439 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:06.439 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '4' AND dict_type = 'college')
